Algorithm : Kruskal's MST
MST edges:
14537 43107 -10
8716 20046 -10
2592 80452 -10
28023 46963 -10
28029 77081 -10
18418 66922 -10
46150 61492 -10
46150 69501 -10
21335 61270 -10
5670 44863 -10
5666 91250 -10
46136 67362 -10
34105 79718 -10
67552 74967 -10
11311 96801 -10
8727 69761 -10
8730 26473 -10
34091 69340 -10
21343 79512 -10
34080 85808 -10
14546 19985 -10
28050 50154 -10
28050 39325 -10
14546 91637 -10
2605 81580 -10
34066 72057 -10
82345 97509 -10
28056 33110 -10
24170 76658 -10
46185 69496 -10
54779 71660 -10
24176 54601 -10
5700 68880 -10
11321 31120 -10
67666 68482 -10
46176 60755 -10
82137 91205 -10
2578 74549 -10
40126 56087 -10
28013 30755 -10
646 1120 -10
14507 44879 -10
11298 14999 -10
82162 99808 -10
8708 74622 -10
8709 18115 -10
82171 82985 -10
67636 97319 -10
28016 78099 -10
2585 49030 -10
67629 96808 -10
67614 73501 -10
34132 80398 -10
54852 96221 -10
34131 43711 -10
46164 65324 -10
40249 98285 -10
28076 55434 -10
34031 96996 -10
54978 72696 -10
82457 90976 -10
46059 79398 -10
2618 22694 -10
2619 33779 -10
40235 81597 -10
54983 82990 -10
34023 89948 -10
28084 89282 -10
24108 40985 -10
34014 37216 -10
5639 96815 -10
34009 86639 -10
11266 33508 -10
14579 22002 -10
617 7699 -10
21371 60979 -10
2628 49925 -10
55035 74077 -10
14586 82469 -10
67331 83114 -10
5619 47471 -10
33991 37760 -10
28102 32245 -10
14592 16656 -10
624 55891 -10
40173 90991 -10
54939 99623 -10
5650 46847 -10
67502 93034 -10
2609 35134 -10
34052 78223 -10
14559 17529 -10
34051 75287 -10
67475 73906 -10
11290 56658 -10
34046 75279 -10
67462 75931 -10
11289 56780 -10
67693 85049 -10
46077 74757 -10
54959 59646 -10
14563 49207 -10
40209 77243 -10
82425 83106 -10
18383 23260 -10
18381 20630 -10
46065 56986 -10
24118 43832 -10
67439 85723 -10
40225 49707 -10
2616 85871 -10
8668 18760 -10
40041 72768 -10
670 59197 -10
46295 79555 -10
27911 52201 -10
18508 20088 -10
21290 63006 -10
40044 53250 -10
54589 71697 -10
2533 30679 -10
27916 53163 -10
34285 76509 -10
27920 46411 -10
34283 40048 -10
34293 64083 -10
5761 13842 -10
668 896 -10
667 93525 -10
14441 35136 -10
5760 15547 -10
67907 99543 -10
34270 94032 -10
5756 45160 -10
34268 93422 -10
34265 98015 -10
34264 43409 -10
46277 58932 -10
18485 75728 -10
2517 98684 -10
34342 36153 -10
27881 74987 -10
8651 77934 -10
18530 52693 -10
81793 85445 -10
21273 49742 -10
18530 24900 -10
46319 48270 -10
8656 25418 -10
11373 98658 -10
34324 76084 -10
54510 86037 -10
14413 69925 -10
11358 81804 -10
5785 61428 -10
11371 50076 -10
24218 63258 -10
8660 27350 -10
5784 34436 -10
18520 69093 -10
67977 81155 -10
11366 72149 -10
24213 62326 -10
14422 78623 -10
54560 93339 -10
14430 34858 -10
2527 3464 -10
27983 30996 -10
54706 70097 -10
14471 87909 -10
54710 67307 -10
5730 28522 -10
54729 74612 -10
8693 15126 -10
21315 28630 -10
14476 23842 -10
11333 34847 -10
5723 39924 -10
27973 92952 -10
5720 92340 -10
27978 73075 -10
46231 86984 -10
21316 79642 -10
40107 97844 -10
82064 92690 -10
2566 91067 -10
8700 70542 -10
650 24175 -10
11325 11948 -10
11324 34230 -10
40115 51063 -10
2572 80891 -10
54776 73083 -10
82118 86863 -10
18446 89342 -10
81999 96603 -10
5751 23676 -10
662 1933 -10
8674 9387 -10
14455 17306 -10
27942 56776 -10
67864 86251 -10
46272 59329 -10
5748 34008 -10
81993 96817 -10
46266 50235 -10
34238 88278 -10
54670 87645 -10
8682 44143 -10
55056 68037 -10
34231 37753 -10
657 83665 -10
67809 87137 -10
27961 80430 -10
8685 27343 -10
34228 37647 -10
46251 76834 -10
46250 48468 -10
18470 76016 -10
27963 29587 -10
40080 65021 -10
2560 30232 -10
21456 22136 -10
55382 65782 -10
24015 92255 -10
40421 71086 -10
5505 13758 -10
55386 86184 -10
66985 89771 -10
40423 59278 -10
66983 84705 -10
18253 39160 -10
40425 52238 -10
577 1590 -10
28261 58752 -10
11185 40650 -10
55377 91133 -10
8853 90937 -10
18251 32159 -10
2697 74014 -10
66968 81834 -10
8855 31420 -10
18244 87085 -10
14730 22733 -10
2700 25432 -10
14730 56707 -10
45811 80901 -10
11183 13383 -10
28280 29291 -10
55437 94814 -10
33773 74386 -10
28229 38130 -10
2681 68759 -10
67032 84937 -10
14692 74567 -10
11199 42574 -10
2682 51707 -10
33789 76166 -10
33789 39389 -10
40391 76105 -10
584 11849 -10
14699 20059 -10
8841 43138 -10
583 12948 -10
24006 62866 -10
33771 42322 -10
5518 46760 -10
2687 44729 -10
55355 88331 -10
2689 31458 -10
55365 83440 -10
40411 54955 -10
11189 58713 -10
14711 76800 -10
28254 66102 -10
33756 33966 -10
66990 72577 -10
579 1584 -10
5457 16947 -10
66841 84969 -10
33690 53233 -10
40460 51839 -10
8877 81979 -10
45763 80028 -10
23988 90540 -10
28327 73365 -10
21482 40080 -10
28338 28929 -10
83294 87545 -10
45758 45866 -10
40475 47244 -10
28344 93426 -10
28323 54069 -10
23982 94172 -10
8881 10663 -10
28348 38896 -10
83321 94260 -10
18195 34161 -10
66780 67002 -10
557 27032 -10
55574 70716 -10
18192 26274 -10
5447 39115 -10
28354 86360 -10
5446 46523 -10
5446 9236 -10
66909 96687 -10
11181 52415 -10
2705 71356 -10
83170 83931 -10
40436 50272 -10
45800 66149 -10
28290 83434 -10
2710 72627 -10
11177 75204 -10
83194 97851 -10
28293 82711 -10
83199 85071 -10
18228 34391 -10
40444 85787 -10
14687 24361 -10
5479 9194 -10
40445 47901 -10
5475 61703 -10
28309 60022 -10
11170 78186 -10
5474 24326 -10
8869 53575 -10
83237 90707 -10
33694 42651 -10
55519 89564 -10
40452 58340 -10
55534 57057 -10
28143 35071 -10
8785 31273 -10
45987 80690 -10
5594 36665 -10
33926 65756 -10
28135 36113 -10
14624 57571 -10
45983 50531 -10
8789 20044 -10
604 10980 -10
18325 45716 -10
2647 92980 -10
82724 95989 -10
67237 98083 -10
14620 96335 -10
40301 81793 -10
24082 50931 -10
55177 98126 -10
14633 22480 -10
40303 83225 -10
8793 55192 -10
45961 72258 -10
21402 79186 -10
82760 94935 -10
33911 60335 -10
2653 6518 -10
33892 66698 -10
28172 71040 -10
5609 55173 -10
5616 77928 -10
18351 18564 -10
40267 89120 -10
46008 92860 -10
2633 10785 -10
11256 34060 -10
46006 76143 -10
5613 74213 -10
82592 87947 -10
14595 62496 -10
46003 47340 -10
33982 68875 -10
8777 79492 -10
55209 65253 -10
55090 75137 -10
14602 88101 -10
82632 88307 -10
55095 98994 -10
33962 78790 -10
2638 37034 -10
33962 67047 -10
5605 61926 -10
24088 76643 -10
33945 34865 -10
5596 92511 -10
67250 99535 -10
45991 90590 -10
82943 83605 -10
28207 50649 -10
40352 75757 -10
45899 48581 -10
2669 7887 -10
5546 29680 -10
18287 95427 -10
55287 58667 -10
591 74813 -10
5544 48298 -10
24053 43372 -10
67088 69224 -10
18283 20180 -10
5537 52171 -10
55278 78226 -10
45885 69477 -10
11208 72554 -10
2674 38294 -10
14679 55335 -10
45881 98089 -10
55308 60537 -10
5534 58735 -10
55315 79539 -10
18277 68740 -10
28225 68524 -10
14685 99751 -10
8831 74661 -10
14686 19298 -10
2663 8835 -10
18311 55688 -10
24072 25203 -10
45929 65814 -10
45928 62534 -10
55233 79223 -10
21412 75775 -10
2661 4180 -10
55244 67591 -10
45925 63488 -10
24065 64428 -10
18301 85740 -10
14661 14801 -10
45923 94928 -10
2509 16881 -10
21414 43051 -10
67130 90791 -10
11225 19229 -10
67127 97588 -10
67127 97960 -10
2665 6664 -10
2665 12374 -10
28201 57870 -10
21422 22891 -10
45908 88189 -10
55278 65133 -10
40350 76954 -10
53881 66840 -10
767 1243 -10
27572 73002 -10
39703 59718 -10
34749 74398 -10
2361 69681 -10
68856 76438 -10
6009 97843 -10
765 9120 -10
39708 98363 -10
14175 40652 -10
68853 86102 -10
24432 59543 -10
68850 72090 -10
24436 31463 -10
11525 55611 -10
